stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Admin\OneDrive - Estudiantes ITCR\Escritorio\Estructura\Proyecto de matrix\MatrixProyecto\x64\Debug\allegro5.cfg r
display  D   display_settings.c:529  _al_score_display_settings       [   0.01724] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.01727] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01729] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.01730] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01732] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.01733] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01735] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.01736] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01738] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.01739] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01741] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01742] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01744] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01745] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01747] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.01748] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01749] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.01751] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01752] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.01754] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01756] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.01757] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01758] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.01760] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01761] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.01762] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01764] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.01765] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01767] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01768] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01770] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01771] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01773] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.01774] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01776] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.01777] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01778] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.01780] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01781] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.01783] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01784] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.01785] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01787] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.01788] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01790] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.01791] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01793] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01794] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01796] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01797] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01798] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.01803] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01805] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.01807] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01808] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.01809] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01811] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.01812] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
